timestamp,open,high,low,close,volume,open_interest
2025-12-16 10:24:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:25:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:26:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:27:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:28:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:29:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:30:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:31:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:32:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:33:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:34:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:35:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:36:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:37:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:38:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:39:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:40:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:41:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:42:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:43:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:44:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:45:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:46:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:47:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:48:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:49:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:50:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:51:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:52:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:53:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:54:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:55:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:56:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:57:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:58:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 10:59:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:00:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:01:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:02:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:03:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:04:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:05:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:06:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:07:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:08:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:09:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:10:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:11:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:12:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:13:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:14:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:15:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:16:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:17:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:18:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:19:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:20:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:21:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:22:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:23:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:24:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:25:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:26:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:27:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:28:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:29:00+05:30,642.0,642.0,642.0,642.0,0,43125
2025-12-16 11:30:00+05:30,679.7,679.7,679.7,679.7,75,43125
2025-12-16 11:31:00+05:30,679.7,679.7,679.7,679.7,0,43125
2025-12-16 11:32:00+05:30,679.7,679.7,679.7,679.7,0,43125
2025-12-16 11:33:00+05:30,679.7,679.7,679.7,679.7,0,43125
2025-12-16 11:34:00+05:30,679.7,679.7,679.7,679.7,0,43125
2025-12-16 11:35:00+05:30,688.9,688.9,688.9,688.9,75,43125
2025-12-16 11:36:00+05:30,709.35,709.35,642.0,708.85,300,43125
2025-12-16 11:37:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:38:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:39:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:40:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:41:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:42:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:43:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:44:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:45:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:46:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:47:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:48:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:49:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:50:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:51:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:52:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:53:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:54:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:55:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:56:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:57:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:58:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 11:59:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:00:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:01:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:02:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:03:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:04:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:05:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:06:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:07:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:08:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:09:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:10:00+05:30,708.85,708.85,708.85,708.85,0,43125
2025-12-16 12:11:00+05:30,696.0,696.0,696.0,696.0,75,42975
2025-12-16 12:12:00+05:30,696.0,696.0,696.0,696.0,0,42975
2025-12-16 12:13:00+05:30,694.0,694.0,694.0,694.0,75,42975
2025-12-16 12:14:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:15:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:16:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:17:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:18:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:19:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:20:00+05:30,694.0,694.0,694.0,694.0,0,42975
2025-12-16 12:21:00+05:30,686.15,686.15,686.15,686.15,75,42975
2025-12-16 12:22:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:23:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:24:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:25:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:26:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:27:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:28:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:29:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:30:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:31:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:32:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:33:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:34:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:35:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:36:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:37:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:38:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:39:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:40:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:41:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:42:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:43:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:44:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:45:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:46:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:47:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:48:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:49:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:50:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:51:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:52:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:53:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:54:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:55:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:56:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:57:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:58:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 12:59:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 13:00:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 13:01:00+05:30,686.15,686.15,686.15,686.15,0,42975
2025-12-16 13:02:00+05:30,694.05,694.05,694.05,694.05,75,42975
2025-12-16 13:03:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:04:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:05:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:06:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:07:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:08:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:09:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:10:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:11:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:12:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:13:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:14:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:15:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:16:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:17:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:18:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:19:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:20:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:21:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:22:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:23:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:24:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:25:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:26:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:27:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:28:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:29:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:30:00+05:30,694.05,694.05,694.05,694.05,0,42975
2025-12-16 13:31:00+05:30,694.6,694.6,694.6,694.6,75,42975
2025-12-16 13:32:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:33:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:34:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:35:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:36:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:37:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:38:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:39:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:40:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:41:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:42:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:43:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:44:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:45:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:46:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:47:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:48:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:49:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:50:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:51:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:52:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:53:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:54:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:55:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:56:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:57:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:58:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 13:59:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:00:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:01:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:02:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:03:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:04:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:05:00+05:30,694.6,694.6,694.6,694.6,0,42975
2025-12-16 14:06:00+05:30,676.05,676.05,676.05,676.05,75,42900
2025-12-16 14:07:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:08:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:09:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:10:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:11:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:12:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:13:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:14:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:15:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:16:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:17:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:18:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:19:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:20:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:21:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:22:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:23:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:24:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:25:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:26:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:27:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:28:00+05:30,676.05,676.05,676.05,676.05,0,42900
2025-12-16 14:29:00+05:30,700.0,700.0,700.0,700.0,75,42900
2025-12-16 14:30:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:31:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:32:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:33:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:34:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:35:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:36:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:37:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:38:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:39:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:40:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:41:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:42:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:43:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:44:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:45:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:46:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:47:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:48:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:49:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:50:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:51:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:52:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:53:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:54:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:55:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:56:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:57:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:58:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 14:59:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:00:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:01:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:02:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:03:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:04:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:05:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:06:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:07:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:08:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:09:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:10:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:11:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:12:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:13:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:14:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:15:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:16:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:17:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:18:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:19:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:20:00+05:30,700.0,700.0,700.0,700.0,0,42900
2025-12-16 15:21:00+05:30,700.0,700.0,700.0,700.0,0,42900
